店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
にぎり長次郎 竹田店,050-5489-5285,,京都府,京都市伏見区竹田七瀬川町,20-5,,,
宮島 汐まち寿司 つるみ,050-5488-7113,,広島県,廿日市市宮島町,73-2,,,
かに道楽 岸和田店,050-5489-0284,,大阪府,岸和田市小松里町,2570,,,
板前寿司アクアシティお台場店,050-5492-5531,,東京都,港区台場,1-7-1,アクアシティお台場店1F,,
鮨処 魚一心,050-5492-6718,,北海道,小樽市築港,11-5,ウイングベイ小樽5番街1F,,
八王子 寿司 有,050-5484-1023,,東京都,八王子市旭町,6-10,第51東京ビル6F,,
川崎 鮨 よこ田,050-5487-1484,,神奈川県,川崎市川崎区砂子,2-6-8,YK-9ビル8F,,
にぎり長次郎 富田林店,050-5489-5297,,大阪府,富田林市向陽台,2-1-1,,,
にぎり長次郎 北山紫竹店,050-5489-5322,,京都府,京都市北区紫竹西野山東町,47-2,,,
華屋与兵衛 葛西中央通り店,050-5494-2767,,東京都,江戸川区中葛西,1-1-4,,,
にぎり長次郎 守山上志段味店,050-5492-0839,,愛知県,名古屋市守山区上志段味字茂中,628-2,,,
寿し膳 阿知店,050-5492-5003,,岡山県,倉敷市阿知,1-16-6,,,
海鮮れすとらん 勘八屋,050-5485-2983,,和歌山県,田辺市新庄町滝内,2926-15,,,
にぎり長次郎 宝ヶ池店,050-5489-5315,,京都府,京都市左京区上高野仲町,27,,,
にぎり長次郎 箕面百楽荘店,050-5489-5318,,大阪府,箕面市百楽荘,4-5-16,,,
にぎり長次郎 杭瀬店,050-5489-5296,,兵庫県,尼崎市杭瀬本町,3-6-21,,,
きづなすし 秋葉原店,050-5487-1911,,東京都,千代田区外神田,1-15-18,奥山ビル1・2F,,
にぎり長次郎 和泉中央店,050-5489-5323,,大阪府,和泉市池田下町,1913-1,,,
よし寿司 浦和店,050-5485-6362,,埼玉県,さいたま市浦和区高砂,1-13-8,,,
にぎり長次郎 小倉店,050-5492-0922,,京都府,宇治市小倉町老ノ木,27,,,
鮨 いの,050-5485-0322,,愛媛県,松山市二番町,1-10-9,ミツワ320ビル3F,,
にぎり長次郎 武庫之荘店,050-5489-5295,,兵庫県,尼崎市水堂町,3-14-23,,,
海鮮魚力 光が丘IMA店,050-5492-1695,,東京都,練馬区光が丘,5-1-1,光ヶ丘IMA中央館3F,,
天寿し 横浜店,050-5492-0507,,神奈川県,横浜市西区南幸,2-17-8,横浜トラストビル7F,,
にぎり長次郎 守山店,050-5489-5321,,滋賀県,守山市吉身,3-16-32,,,
鮨 慎之助 愛知県,050-5487-9743,,愛知県,豊橋市大山町字上青尻,18-1,,,
にぎり長次郎 伊丹店,050-5488-9584,,兵庫県,伊丹市瑞穂町,2-22,,,
にぎり長次郎 外環山科店,050-5489-5298,,京都府,京都市山科区大宅烏田町,15,,,
炉端かば 鳥取駅前店,050-5485-7019,,鳥取県,鳥取市栄町,608,,,
飛騨牛 源耀,050-5486-3495,,愛知県,みよし市三好町井ノ花,3-1,,,
うまい鮨勘 一番町支店,050-5484-7596,,宮城県,仙台市青葉区一番町,4-5-6,江陽パルサービル1・2F,,
にぎり長次郎 長居公園通り店,050-5489-5305,,大阪府,大阪市東住吉区矢田,1-17-2,,,
名駅 鮨 よこ田,050-5492-6417,,愛知県,名古屋市中村区椿町,10-4,サン・タウン名駅椿北館5F,,
にぎり長次郎 神戸住吉店,050-5489-5302,,兵庫県,神戸市東灘区住吉宮町,3-16-11,,,
若狭湾天然活魚料理 大将,050-5486-0967,,京都府,京都市山科区勧修寺東出町,43,ニュープラザ小野1F,,
にぎり長次郎 東豊中店,050-5489-5289,,大阪府,豊中市熊野町,4-1-1,,,
江戸前廻鮮 すし華亭 長岡店,050-5484-7011,,栃木県,宇都宮市長岡町,494-1,,,
にぎり長次郎 宝塚店,050-5489-5317,,兵庫県,宝塚市旭町,2-2-26,,,
にぎり長次郎 朝霧店,050-5489-5328,,兵庫県,明石市朝霧南町,4-1-33,,,
にぎり長次郎 日進竹の山店,050-5487-6640,,愛知県,日進市竹の山,2-1918,,,
CHOJIRO 高槻阪急店,050-5492-0962,,大阪府,高槻市白梅町,4-1,高槻阪急6F,,
にぎり長次郎 上野芝店,050-5489-5311,,大阪府,堺市西区上野芝町,3丁5-17,,,
にぎり長次郎 京田辺店,050-5489-5314,,京都府,京田辺市田辺中央,3-6-1,,,
にぎり長次郎 北加賀屋店,050-5489-5300,,大阪府,大阪市住之江区北加賀屋,2-2-21,,,
町田 寿司 空,050-5484-8615,,東京都,町田市原町田,6-15-16,コマヤビルB1,,
成田江戸ッ子寿司 参道本店,050-5486-8476,,千葉県,成田市花崎町,536-10,,,
祭ずし 大森店,050-5485-6455,,東京都,大田区大森北,1-2-8,,,
天満 酒場 すし金,050-5492-0636,,大阪府,大阪市北区天神橋,5-7-28,,,
すし屋の勘太郎,050-5493-6664,,東京都,あきる野市伊奈,485-6,,,
宮島鮨 天扇,050-5487-3060,,広島県,廿日市市宮島町,810-1,,,
